BROKERTITLE,TYPE, PRICE ,BEDS,BATH,PROPERTYSQFT,ADDRESS,Neighborhood/Boroughs,State,Zipcode,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,Buyer_FirstNames,Buyer_LastName,Buyer_Email,Buyer_Phone,Buyer_STREET,Buyer_UNIT,Buyer_CITY,Buyer_DISTRICT,Buyer_REGION,Buyer_Zipcode,Buyer_budget,Seller_FirstNames,Seller_LastNames,Seller_Email,Seller_Phone,Seller_STREET,Seller_UNIT,Seller_CITY,Seller_DISTRICT,Seller_REGION,Seller_Zipcode,Employee_Lastnames,Employee_Firstnames,Employees_phone,Employees_email,Start_date,Position, Salary , Commission ,Appointment_Date,Appointment_Time,Attendence,Property_id,Date_post,Property_status,Transaction_id,Transaction_date,Payment_status,Rating
Douglas Elliman  -111 Fifth Ave,Condo,"315,000.00",2,2,1400,2 E 55th St Unit 803,New York,NY,10022,New York County,New York,Manhattan,East 55th Street,Regis Residence,"Regis Residence, 2 E 55th St #803, New York, NY 10022, USA",40.761255,-73.9744834,Roy, Dah'Som,roydahsom@example.com,231-389-2521,State Route 26,,Ava,Oneida,NY,13303,297000,Kim, Jodi,kimjodi@example.com,813-660-5385,18th Street,,Babylon,Suffolk,NY,11704,Martinez, Samantha,614-447-9193,martinezsamantha@example.com,9/15/18,Real Estate Advisor,"114,701.00","15,750.00",1/12/12,4:14:08 PM,TRUE,1,12/12/11,Sold,1,6/16/13,Completed,4
Serhant,Condo,"195,000,000.00",7,10,17545,Central Park Tower Penthouse-217 W 57th New York St Unit Penthouse,New York,NY,10019,United States,New York,New York County,New York,West 57th Street,"217 W 57th St, New York, NY 10019, USA",40.7663935,-73.9809909,Toves, Eric,toveseric@example.com,170-483-8593,Holloway Lane,,Poestenkill,Rensselaer,NY,12018,190000000,Mace, Fabian,macefabian@example.com,173-336-5418,Wabash Road,,Seneca,Ontario,NY,14456,Cloud, Samuel,662-648-5370,cloudsamuel@example.com,5/29/21,Lead Negotiator,"50,000.00","9,750,000.00",3/8/21,11:30:32 AM,TRUE,2,3/20/16,Pending,2,7/17/22,Completed,3
Sowae Corp,House,"260,000.00",4,2,2015,620 Sinclair Ave,Staten Island,NY,10312,United States,New York,Richmond County,Staten Island,Sinclair Avenue,"620 Sinclair Ave, Staten Island, NY 10312, USA",40.5418051,-74.1961086,Foxhoven, Alejandro,foxhovenalejandro@example.com,840-186-8310,Midge Street,Apartment 1,Glen Cove,Nassau,NY,11542,300000,Silva, Briana,silvabriana@example.com,851-475-2269,Bittersweet Drive,,Farmington,Ontario,NY,14425,Thompson, Yun,378-529-3336,thompsonyun@example.com,7/9/22,Real Estate Advisor,"50,000.00","13,000.00",6/12/06,9:20:15 AM,FALSE,3,8/22/05,Pending,3,6/20/12,Completed,1
COMPASS,Condo,"69,000.00",3,1,445,2 E 55th St Unit 908W33,Manhattan,NY,10022,United States,New York,New York County,New York,East 55th Street,"2 E 55th St, New York, NY 10022, USA",40.7613979,-73.9746128,Gonzalez, Jannette,gonzalezjannette@example.com,927-688-7043,Walter Street,,Albany,Albany,NY,12204,69400,Branch, Taylor,branchtaylor@example.com,624-914-4065,Monterey Gardens,,Clarkstown,Rockland,NY,10954,Lindquist, Andrew,725-182-4748,lindquistandrew@example.com,10/24/17,Lead Negotiator,"77,027.00","3,450.00",10/27/18,11:01:18 AM,TRUE,4,7/31/18,Sold,4,6/5/22,Completed,5
Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse,"55,000,000.00",7,2,14175,5 E 64th St,New York,NY,10065,United States,New York,New York County,New York,East 64th Street,"5 E 64th St, New York, NY 10065, USA",40.7672235,-73.9698561,Weitz, Dainon,weitzdainon@example.com,497-829-1584,Bridle Path,,Colonie,Albany,NY,12205,55700000,al-Baccus, Bandar,albaccusbandar@example.com,599-804-2348,Knowlesville Road,,Alabama,Genesee,NY,14125,Cardoza, Jared,394-243-1191,cardozajared@example.com,10/21/16,Lead Negotiator,"82,300.00","2,750,000.00",7/12/08,2:28:26 PM,TRUE,5,3/18/07,Pending,5,3/5/12,Completed,3
Sowae Corp,House,"690,000.00",5,2,4004,584 Park Pl,Brooklyn,NY,11238,United States,New York,Kings County,Brooklyn,Park Place,"584 Park Pl, Brooklyn, NY 11238, USA",40.6743632,-73.9587248,Rinehart, Brittanie,rinehartbrittanie@example.com,741-071-1790,Shipyard Lane,Unit 5A2,Southold,Suffolk,NY,11939,808000,Cole, Damian,coledamian@example.com,146-678-9765,Wilcox Street,Unit 2,Rochester,Monroe,NY,14607,Dee, Steven,317-105-5823,deesteven@example.com,3/6/23,Buyer Agent,"168,952.00","34,500.00",8/19/18,12:31:49 PM,TRUE,6,5/20/18,Withdrawn,6,3/29/19,Canceled,3
Douglas Elliman - 575 Madison Ave,Condo,"899,500.00",2,2,2184.207862,157 W 126th St Unit 1B,New York,NY,10027,New York,New York County,New York,Manhattan,157,"157 W 126th St #1b, New York, NY 10027, USA",40.809448,-73.946777,Greenlees, Kimber,greenleeskimber@example.com,066-843-9886,Middleboro Drive,,Yonkers,Westchester,NY,10710,940000,Agboglo, Jason,agboglojason@example.com,128-690-1128,Route 50,Suite 900,Wilton,Saratoga,NY,12866,Dinius, Whitney,498-863-1828,diniuswhitney@example.com,7/15/23,Buyer Agent,"66,375.00","44,975.00",4/26/21,2:32:02 PM,FALSE,7,8/25/09,Under Contract,7,11/29/22,Completed,2
Connie Profaci Realty,House,"16,800,000.00",8,16,33000,177 Benedict Rd,Staten Island,NY,10304,United States,New York,Richmond County,Staten Island,Benedict Road,"177 Benedict Rd, Staten Island, NY 10304, USA",40.5950017,-74.1064235,Sath, Kendyl,sathkendyl@example.com,650-385-6613,Halbert Street,,Cortland,Cortland,NY,13045,14600000,Bean, Keliihooluhi,beankeliihooluhi@example.com,042-466-3183,Ballyhack Road,,Fenton,Broome,NY,13833,Pino, Madeleine,428-279-7970,pinomadeleine@example.com,11/17/20,Buyer Agent,"50,000.00","840,000.00",10/19/21,1:23:49 PM,TRUE,8,9/30/21,Sold,8,9/18/22,Completed,4
Pantiga Group Inc.,Co-op,"265,000.00",1,1,750,875 Morrison Ave Apt 3M,Bronx,NY,10473,Bronx County,The Bronx,East Bronx,Morrison Avenue,Parking lot,"Parking lot, 875 Morrison Ave #3m, Bronx, NY 10473, USA",40.8215857,-73.8740892,Inks, Deion,inksdeion@example.com,198-891-3133,Royce Circle,,Victor,Ontario,NY,14564,246000,Lee, Taylor,leetaylor@example.com,210-432-1321,Pennington Way,,Ramapo,Rockland,NY,10977,el-Demian, Jeelaan,443-811-6439,eldemianjeelaan@example.com,1/25/18,Buyer Agent,"50,000.00","13,250.00",11/11/06,11:20:15 AM,TRUE,9,8/23/06,Sold,9,8/23/09,Completed,4
CENTURY 21 MK Realty,Co-op,"440,000.00",2,1,978,1350 Ocean Pkwy Apt 5G,Brooklyn,NY,11230,New York,Kings County,Brooklyn,Midwood,1350,"1350 Ocean Pkwy #5g, Brooklyn, NY 11230, USA",40.6157378,-73.9696944,al-Eid, Maa'iz,aleidmaaiz@example.com,171-119-2809,State Highway 7,,Unadilla,Otsego,NY,13849,420000,Werth, Joseph,werthjoseph@example.com,152-648-0313,Winifred Drive,,Webster,Monroe,NY,14580,Niko, Cody,213-188-6900,nikocody@example.com,6/15/18,Buyer Agent,"50,000.00","22,000.00",3/18/15,2:14:01 PM,TRUE,10,8/5/12,Under Contract,10,3/24/17,Completed,2
